产品型号：,YYQY-13,,产品名称：,,,,
刻度盘图号：,,,支组编号：,,,,

检测点,0.0,1.0,2.0,3.0,4.0,5.0,,,
检测点对应的刻度盘角度,0.00,50.31,105.19,161.00,208.30,267.09,,,
正行程角度,-0.28,52.16,106.31,161.82,208.51,268.47,,,
正行程角度误差,-0.28,1.84,1.13,0.83,0.21,1.38,,,
正行程误差（MPa）,-0.006,0.038,0.023,0.017,0.004,0.028,,,

反行程角度,-0.46,52.69,106.16,162.07,207.85,265.86,,,
反行程角度误差,-0.46,2.38,0.97,1.07,-0.46,-1.24,,,
反行程误差（MPa）,-0.009,0.049,0.020,0.022,-0.009,-0.025,,,

正行程角度,-0.25,48.86,104.37,160.74,207.75,266.64,,,
正行程角度误差,-0.25,-1.45,-0.82,-0.25,-0.56,-0.46,,,
正行程误差（MPa）,-0.005,-0.030,-0.017,-0.005,-0.011,-0.009,,,

反行程角度,-1.09,47.54,103.91,159.35,209.11,267.41,,,
反行程角度误差,-1.09,-2.77,-1.27,-1.65,0.81,0.31,,,
反行程误差（MPa）,-0.023,-0.057,-0.026,-0.034,0.017,0.006,,,

迟滞误差角度,0.51,0.92,0.30,0.82,1.01,1.69,,,
迟滞误差（MPa）,0.011,0.019,0.006,0.017,0.021,0.035,,,
